action,risk,ats_type,ats_identifier,name,clean_name,board_url,jobs_count,sample_title_1,has_real_domain,domain_to_use,existing_db_name,existing_db_domain
insert,low,greenhouse,edisonscientific,"Edison Scientific","Edison Scientific",https://boards.greenhouse.io/edisonscientific,14,"AI Engineer - Forward Deployed ",no,edisonscientific.greenhouse.ats-placeholder,,
insert,high,ashby,capy,"Capy","Capy",https://jobs.ashbyhq.com/capy,2,"Founding Engineer",no,capy.ashby.ats-placeholder,,
insert,high,ashby,oneschema,"OneSchema","OneSchema",https://jobs.ashbyhq.com/oneschema,3,"Senior Software Engineer",no,oneschema.ashby.ats-placeholder,,
insert,med,ashby,lunar,"Lunar","Lunar",https://jobs.ashbyhq.com/lunar,13,"Clinical Workflow Informaticist ",no,lunar.ashby.ats-placeholder,,
insert,med,ashby,andromeda,"Andromeda (andromeda.ai)","Andromeda",https://jobs.ashbyhq.com/andromeda,10,"Software Engineer - AI Infrastructure",no,andromeda.ashby.ats-placeholder,,
insert,med,ashby,prelim,"Prelim","Prelim",https://jobs.ashbyhq.com/prelim,4,"Software Engineer, Product",no,prelim.ashby.ats-placeholder,,
insert,low,greenhouse,found,"Found.com","Found.com",https://boards.greenhouse.io/found,7,"Growth Marketing Manager",no,found.greenhouse.ats-placeholder,,
insert,med,ashby,nuon,"Nuon","Nuon",https://jobs.ashbyhq.com/nuon,4,"Senior Software Engineer, Full Stack",no,nuon.ashby.ats-placeholder,,
insert,high,ashby,readme,"ReadMe","ReadMe",https://jobs.ashbyhq.com/readme,3,"Enterprise Support Engineer",no,readme.ashby.ats-placeholder,,
insert,high,lever,cef,"CEF.AI","CEF.AI",https://jobs.lever.co/cef,2,"Finance Systems Accountant",no,cef.lever.ats-placeholder,,
update-by-name,low,smartrecruiters,visa,"Visa Inc,","Visa Inc,",https://careers.smartrecruiters.com/visa,20,"Sr. SW Engineer",no,dice-visa-inc-.placeholder,"Visa Inc.",dice-visa-inc-.placeholder
insert,low,greenhouse,opentable,"OpenTable","OpenTable",https://boards.greenhouse.io/opentable,52,"Account Executive",no,opentable.greenhouse.ats-placeholder,,
insert,med,ashby,sagetap,"Sagetap","Sagetap",https://jobs.ashbyhq.com/sagetap,4,"Sr. Content Strategist",no,sagetap.ashby.ats-placeholder,,
insert,low,ashby,edia,"Edia Learning","Edia Learning",https://jobs.ashbyhq.com/edia,4,"Product Manager",no,edia.ashby.ats-placeholder,,
insert,low,ashby,echotwin,"EchoTwin AI","EchoTwin AI",https://jobs.ashbyhq.com/echotwin,11,"Machine Learning Engineer",no,echotwin.ashby.ats-placeholder,,
insert,low,greenhouse,clerkie,"Clerkie","Clerkie",https://boards.greenhouse.io/clerkie,5,"Associate Product Manager",no,clerkie.greenhouse.ats-placeholder,,
insert,low,ashby,hinge-health,"Hinge Health","Hinge Health",https://jobs.ashbyhq.com/hinge-health,79,"Staff Software Engineer, Growth",no,hinge-health.ashby.ats-placeholder,,
insert,low,greenhouse,verse,"Verse (verse.inc)","Verse",https://boards.greenhouse.io/verse,15,"Data Scientist",no,verse.greenhouse.ats-placeholder,,
