"id","name","domain","old_url","old_ats","new_url","new_ats","confidence","reason"
"981a798c-e500-494e-8c75-bace2ee516c7","Abn Tech Corporation","abntechoration.com","https://abntechoration.com/careers","","","","none","homepage_unreachable_error"
"b98cba7d-2364-4939-a179-0df0612a85f0","Acetech Group Corporation","acetechoration.com","https://acetechoration.com/careers","","","","none","homepage_unreachable_error"
"f4495094-1c95-47b2-8190-0d5aaf8c6fdc","ADT","adt.com","https://careers.adt.com","workday","https://jobs.adt.com/","","medium","careers_page_no_ats_detected"
"4f7da5ac-3059-4d55-a9ae-8bbbe89252c3","Advanced Knowledge Tech LLC","advancedknowledgetech.com","https://advancedknowledgetech.com/careers","","","","none","homepage_unreachable_error"
"c17bbed6-3d41-4d7f-be61-41236bf539d0","Adventist Health System Sunbelt In","adventisthealthsystemsunbeltin.com","https://careers.adventhealth.com","workday","","","none","homepage_unreachable_error"
"32e834e7-6c51-4382-8f92-776de3a1487f","Activehours Inc.","activehours.com","https://activehours.com/careers","","https://www.earnin.com/careers","","medium","careers_page_no_ats_detected"
"ebfe9021-6c04-4d43-8615-a3c31e0ea0a7","Albert Einstein Medical Center","alberteinsteinmedicalcenter.com","https://careers.einstein.edu","icims","","","none","homepage_unreachable_error"
"2f215a5d-6080-47da-96e7-65a7b4d73bf5","Agap Technologies Inc.","agap.com","https://agap.com/careers","","","","none","homepage_unreachable_error"
"ad75bccd-c309-43f6-9f7a-0a19858244a9","Advanced Energy Industries Inc.","advancedenergyindustries.com","https://careers.advancedenergy.com","icims","","","none","homepage_unreachable_error"
"1f147490-a06f-4c20-a0ed-b38a8b6b411f","Alliancebernstein L P","alliancebernsteinlp.com","https://careers.alliancebernstein.com","workday","","","none","homepage_unreachable_error"
"1962907b-46a4-440c-a912-83dc45624c6c","Albertsons","albertsons.com","https://careers.albertsonscompanies.com","workday","","","none","no_candidates"
"44047bd0-20f5-4478-b2d1-43bf582b506d","American Bankers Insurance Company","nbankersinsurancempany.com","https://careers.assurant.com","workday","","","none","homepage_unreachable_error"
"904916fd-d566-45a2-970a-ea31acf5a085","AMERICAN EXPRESS TRAVEL RELATED","americanexpress.com","https://jobs.americanexpress.com","workday","https://www.americanexpress.com/en-us/careers/?inav=en_us_footer_About_Careers","","medium","careers_page_no_ats_detected"
"a6d5655b-ab7d-46a0-9155-03cd0ea5ee65","American It Solutions Inc.","nit.com","https://americanits.com/careers","custom","","","none","no_career_links_on_homepage"
"53503e5e-5c78-4349-8168-18a893d50835","Altice USA","alticeusa.com","https://www.alticeusajobs.com","icims","https://performancemanager8.successfactors.com","successfactors","high","careers_page_embeds_successfactors"
"ce1c961b-071d-4930-860c-b5297032a04d","Anjus LLC","anjus.com","https://anjus.com/careers","","","","none","homepage_unreachable_error"
