id,stored_name,tenant,ats_identifier,domain,careers_url,job_count,suggested_name
1b315f43-61d4-4960-ae0e-e7dfb765c9d4,Brightree,resmed,resmed:wd3:Brightree_External_Careers,brightree.com,https://brightree.com/careers,13,Brightree
960cdf69-2f32-49a1-8946-0bc578c79d4e,Union Commonwealth University,unioncollege,unioncollege:wd5:UnionCollegeCareers,union-commonwealth-university.lca-employer,https://union.edu/careers,13,Unioncollege
d07b3f3a-9b20-47b2-9e90-e3d86ae8c6a5,University Federal Credit Union,unioncollege,unioncollege:wd5:UnionCollegeCareers,university-federal-credit-union.lca-employer,https://union.edu/careers,13,Unioncollege
5964217d-2a61-4853-9f0e-ee494443c954,Capella University,strayer,strayer:wd1:CU_Careers,capella.edu,https://capella.edu/careers,11,CU
4b458639-74f6-46b5-97fb-8ca9263ed2ca,Engle Martin,corpartners,corpartners:wd5:EngleMartin,englemartin.com,https://englemartin.com/careers,11,Englemartin
cba582e3-02b9-4358-8c8a-94dbfb64c7b1,"University of Nevada, Las Vegas",nshe,nshe:wd1:UNLV-External,unlv.edu,https://unlv.edu/jobs,10,Unlv
1f336415-ca38-4a83-a3d8-d4af881eb909,Pinnacle Technical Resources Inc.,pinnaclegroup,pinnaclegroup:wd1:PinnacleGroup,pinnacletechnicalresources.com,https://pinnaclegroup.wd1.myworkdayjobs.com/en-US/PinnacleGroup,8,Pinnaclegroup
78a330d6-25ee-461e-b1b6-909470b06ef5,Fairway Independent Mortgage Corporation,fimc,fimc:wd1:Fairway_Careers,fairway.com,https://fairway.com/careers,7,Fairway
8c07bd14-4af0-4c8c-b961-57cd93232f02,Louisiana State University And A&M College,lsu,lsu:wd1:LSU,louisianastateuniversityandamllege.com,https://lsu.wd1.myworkdayjobs.com/LSU,7,LSU
5305a067-13d8-4470-84f8-ec4654d4e5d1,Louisiana State University-Eunice,lsu,lsu:wd1:LSU,lsue.edu,https://lsu.wd1.myworkdayjobs.com/LSU,7,LSU
fca1a99c-ff1a-40c8-a904-25196795e33b,Ribbon Communications,vhr-genband,vhr-genband:wd1:ribboncareers,ribboncommunications.com,https://vhr-genband.wd1.myworkdayjobs.com/en-US/ribboncareers,5,Ribbon
dacd91f4-855b-4b65-9f8a-9cb514290cde,SciPlay,lnw,lnw:wd5:SciPlayExternalCareersSite,sciplay.com,https://sciplay.com/careers,5,Sciplay
bab1420f-b5b9-4996-9b57-d51f7e0870ea,Claremont Graduate University,theclaremontcolleges,theclaremontcolleges:wd1:CGU_Careers,cgu.edu,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/CGU_Careers,4,CGU
74dbdba0-83e4-4402-ba9f-1688e2318c5c,Le Moyne College,agilitas,agilitas:wd503:LMC-GA,lemoyne.edu,https://lemoyne.edu/careers,4,LMC GA
11a209e1-3599-4a38-a8f7-fdc3e4f9abe6,Florida Gulf Coast University,fgcu,fgcu:wd5:eaglejobs,fgcu.edu,https://fgcu.wd5.myworkdayjobs.com/en-US/eaglejobs,3,Eagle
1c132c4a-610a-4fd9-8fe8-4797f044e432,Apmt,maersk,maersk:wd3:APMT_Careers,maersk.wd3.myworkdayjobs.com,https://maersk.wd3.myworkdayjobs.com/en-US/APMT_Careers,2,Apmt
e155ae81-bd52-4202-a855-70912cccb6c6,Envari Energy Solutions,hydroottawa,hydroottawa:wd3:envari_ottawa_careersite,envari.com,https://envari.com/careers,2,Envari Ottawa ITE
ad33f634-1f6f-470b-98e8-3eeb7c0af97e,Galvanize USA,strideinc,strideinc:wd1:G,galvanize.com,https://galvanize.com/careers,2,Strideinc
052a52a2-cfbb-4ff3-95a9-a275037531ba,WideOrbit,luminegrp,luminegrp:wd3:WideOrbit,wideorbit.com,https://wideorbit.com/careers,2,Wideorbit
4ea7b7e2-2ca4-44a3-87fe-9b052df45d87,automotiveMastermind,spgi,spgi:wd5:aM_Careers,automotivemastermind.com,https://automotivemastermind.com/careers,2,AM
e0ce595e-6862-4578-96eb-1ce85dd41e45,Villeroy & Boch,villeroyboch,villeroyboch:wd3:Careers,villeroyboch.com,https://villeroyboch.wd3.myworkdayjobs.com/en-US/Careers,1,Villeroyboch
39f99b4a-17af-4921-8e8e-cd12033e5c62,Kimberly-Clark,kimberlyclark,kimberlyclark:wd1:External,kimberly-clark.com,https://kimberlyclark.wd1.myworkdayjobs.com/en-US/External,0,Kimberlyclark
26534e33-4c7a-4efa-8a69-add3bf2dc503,Magnite,osv-rubicon,osv-rubicon:wd5:MagniteCareers,magnite.com,https://osv-rubicon.wd5.myworkdayjobs.com/MagniteCareers,0,Magnite
44e6744e-57e0-40cb-a855-77e342d29511,SBA Communications,sbasite,sbasite:wd5:External,sbasite.com,https://sbasite.wd5.myworkdayjobs.com/en-US/External,0,Sbasite
4e174788-0e39-4071-9997-907e87e63345,True Rx Health Strategists,truecar,truecar:wd1:External,truecar.com,https://truecar.wd1.myworkdayjobs.com/en-US/External,0,Truecar
